dataset,plot_id,start_date,end_date,latitude,longitude,diameter,height,species,plant_AGB_kg
Panama-Chirqui_2,Batipa_1,2014-01-01,2014-12-31,8.30711,-82.2813,6.0,,Rhizophora mangle,16.05155
Panama-Chirqui_2,Batipa_1,2014-01-01,2014-12-31,8.30711,-82.2813,7.0,,Rhizophora mangle,20.96051
Panama-Chirqui_2,Batipa_1,2014-01-01,2014-12-31,8.30711,-82.2813,7.0,,Rhizophora mangle,20.96051
Panama-Chirqui_2,Batipa_1,2014-01-01,2014-12-31,8.30711,-82.2813,9.4,,Rhizophora mangle,34.91576
Panama-Chirqui_2,Batipa_1,2014-01-01,2014-12-31,8.30711,-82.2813,11.0,,Rhizophora mangle,45.83402
Panama-Chirqui_2,Batipa_1,2014-01-01,2014-12-31,8.30711,-82.2813,13.0,,Rhizophora mangle,61.20306
Panama-Chirqui_2,Batipa_1,2014-01-01,2014-12-31,8.30711,-82.2813,16.0,,Rhizophora mangle,87.67361
Panama-Chirqui_2,Batipa_1,2014-01-01,2014-12-31,8.30711,-82.2813,16.6,,Rhizophora mangle,93.44247
Panama-Chirqui_2,Batipa_1,2014-01-01,2014-12-31,8.30711,-82.2813,32.0,,Rhizophora mangle,291.03942
Panama-Chirqui_2,Batipa_2,2014-01-01,2014-12-31,8.30711,-82.2813,5.2,,Rhizophora mangle,12.52965
Panama-Chirqui_2,Batipa_2,2014-01-01,2014-12-31,8.30711,-82.2813,7.0,,Rhizophora mangle,20.96051
Panama-Chirqui_2,Batipa_2,2014-01-01,2014-12-31,8.30711,-82.2813,7.7,,Rhizophora mangle,24.72024
Panama-Chirqui_2,Batipa_2,2014-01-01,2014-12-31,8.30711,-82.2813,8.0,,Rhizophora mangle,26.41107
Panama-Chirqui_2,Batipa_2,2014-01-01,2014-12-31,8.30711,-82.2813,8.3,,Rhizophora mangle,28.1489
Panama-Chirqui_2,Batipa_2,2014-01-01,2014-12-31,8.30711,-82.2813,8.5,,Rhizophora mangle,29.33333
Panama-Chirqui_2,Batipa_2,2014-01-01,2014-12-31,8.30711,-82.2813,10.2,,Rhizophora mangle,40.21834
Panama-Chirqui_2,Batipa_2,2014-01-01,2014-12-31,8.30711,-82.2813,10.3,,Rhizophora mangle,40.90331
Panama-Chirqui_2,Batipa_2,2014-01-01,2014-12-31,8.30711,-82.2813,11.4,,Rhizophora mangle,48.75728
Panama-Chirqui_2,Batipa_2,2014-01-01,2014-12-31,8.30711,-82.2813,11.5,,Rhizophora mangle,49.5
Panama-Chirqui_2,Batipa_2,2014-01-01,2014-12-31,8.30711,-82.2813,13.6,,Rhizophora mangle,66.17486
Panama-Chirqui_2,Batipa_2,2014-01-01,2014-12-31,8.30711,-82.2813,41.5,,Rhizophora mangle,456.43449
Panama-Chirqui_2,Los Algarrobos_2,2014-01-01,2014-12-31,8.30017,-82.4285,5.4,,Rhizophora mangle,6.68776
Panama-Chirqui_2,Las Matita_1,2014-01-01,2014-12-31,8.31786,-82.4404,5.7,,Rhizophora mangle,7.3439
Panama-Chirqui_2,Limones_2,2014-01-01,2014-12-31,8.27676,-82.3499,6.0,,Rhizophora mangle,15.65026
Panama-Chirqui_2,Batipa_3,2014-01-01,2014-12-31,8.30711,-82.2813,53.0,,Rhizophora mangle,697.04165
Panama-Chirqui_2,Batipa_4,2014-01-01,2014-12-31,8.30711,-82.2813,6.0,,Rhizophora mangle,16.05155
Panama-Chirqui_2,Batipa_4,2014-01-01,2014-12-31,8.30711,-82.2813,7.0,,Rhizophora mangle,20.96051
Panama-Chirqui_2,Boca del R’o_2,2014-01-01,2014-12-31,8.33622,-82.4348,6.0,,Rhizophora mangle,8.02578
Panama-Chirqui_2,Batipa_4,2014-01-01,2014-12-31,8.30711,-82.2813,16.0,,Rhizophora mangle,87.67361
